function,insns,insns_pct,aes32esmi_insns,aes32esi_insns,cycles,cpi,branch_penalty,fetch_drain,ifetch_miss,jump_redirect,load_use_stall,mem_stall,pipeline_backpressure,useful_aes,useful_other
expand_key,1053,59.2572,0,0,2408,2.2890,84,0,883,1,17,120,251,0,1052
aes128_encrypt_block,377,21.2155,144,16,758,2.0213,15,1,257,2,33,24,51,160,215
main,166,9.3416,0,0,365,2.2121,15,0,126,2,38,3,16,0,165
memcpy,100,5.6275,0,0,274,2.7677,15,0,143,1,0,0,16,0,99
aes128_ecb_encrypt,29,1.6320,0,0,47,1.7407,0,0,13,3,0,4,0,0,27
exit,11,0.6190,0,0,46,,0,0,35,11,0,0,0,0,0
reset_handler,33,1.8571,0,0,38,1.1515,0,0,5,0,0,0,0,0,33
zero_loop_end,6,0.3376,0,0,13,3.2500,2,0,7,0,0,0,0,0,4
<unknown>,1,0.0563,0,0,6,,0,0,4,2,0,0,0,0,0
_start,1,0.0563,0,0,2,2.0000,0,0,1,0,0,0,0,0,1
zero_loop,0,0.0000,0,0,1,,1,0,0,0,0,0,0,0,0
